0,弗兰克·德拉邦特,肖申克的救赎,1,9.6,875072,142,4196845,4.796,0.469,1994
1,陈凯歌,霸王别姬,2,9.5,629139,171,2990926,4.754,0.515,1993
2,吕克·贝松,这个杀手不太冷,3,9.4,836619,110,3929599,4.697,0.551,1994
3,罗伯特·泽米吉斯,阿甘正传,4,9.4,713180,142,3351946,4.7,0.555,1994
4,罗伯托·贝尼尼,美丽人生,5,9.5,416064,116,1969230,4.733,0.525,1997
5,宫崎骏,千与千寻,6,9.2,664387,125,3064152,4.612,0.6,2001
6,史蒂文·斯皮尔伯格,辛德勒的名单,7,9.4,383622,195,1805325,4.706,0.547,1993
7,詹姆斯·卡梅隆,泰坦尼克号,8,9.2,655609,194,3017768,4.603,0.626,1997
8,克里斯托弗·诺兰,盗梦空间,9,9.2,764881,148,3539104,4.627,0.601,2010
9,安德鲁·斯坦顿,机器人总动员,10,9.3,499962,98,2319323,4.639,0.599,2008
10,朱塞佩·托纳多雷,海上钢琴师,11,9.2,600422,165,2754135,4.587,0.651,1998
11,拉吉库马尔·希拉尼,三傻大闹宝莱坞,12,9.1,675424,171,3085336,4.568,0.687,2009
12,拉斯·霍尔斯道姆,忠犬八公的故事,13,9.2,456513,93,2103611,4.608,0.625,2009
13,克里斯托夫·巴拉蒂,放牛班的春天,14,9.2,453545,97,2084039,4.595,0.602,2004
14,刘镇伟,大话西游之大圣娶亲,15,9.2,489419,95,2243007,4.583,0.655,1995
15,宫崎骏,龙猫,16,9.1,419367,86,1913990,4.564,0.634,1988
16,弗朗西斯·福特·科波拉,教父,17,9.2,344447,175,1585145,4.602,0.643,1972
17,彼得·威尔,楚门的世界,18,9.1,455579,103,2061494,4.525,0.635,1998
18,维克多·弗莱明,乱世佳人,19,9.2,271859,238,1252454,4.607,0.615,1939
19,朱塞佩·托纳多雷,天堂电影院,20,9.1,310173,155,1415009,4.562,0.637,1988
20,奥利维埃·纳卡什,触不可及,21,9.1,366776,112,1675432,4.568,0.619,2011
21,加布里埃莱·穆奇诺,当幸福来敲门,22,8.9,539694,117,2404876,4.456,0.677,2006
22,黄东赫,熔炉,23,9.2,253925,125,1164753.975,4.587,0.613,2011
23,刘伟强,无间道,24,9,399760,101,1799719,4.502,0.651,2002
24,大卫·芬奇,搏击俱乐部,25,9,405543,139,1821699.156,4.492,0.711,1999
25,西德尼·吕美特,十二怒汉,26,9.4,171475,96,802160,4.678,0.575,1957
26,罗伯·莱纳,怦然心动,27,8.9,546851,90,2435127,4.453,0.685,2010
27,彼得·杰克逊,指环王3：王者无敌,28,9.1,284940,201,1295337,4.546,0.677,2003
28,克里斯托弗·诺兰,星际穿越,29,9.1,484391,169,2211244,4.565,0.672,2014
29,李安,少年派的奇幻漂流,30,9,578974,127,2615225,4.517,0.666,2012
30,宫崎骏,天空之城,31,9,332484,124,1498172,4.506,0.653,1986
31,姜文,鬼子来了,32,9.2,228008,139,1044048,4.579,0.648,2000
32,威廉·惠勒,罗马假日,33,8.9,385575,118,1723520,4.47,0.672,1953
33,克里斯托弗·诺兰,蝙蝠侠：黑暗骑士,34,9,319600,152,1441396,4.51,0.693,2008
34,刘镇伟,大话西游之月光宝盒,35,8.9,395701,87,1764826,4.46,0.702,1995
35,张艺谋,活着,36,9.1,265809,132,1203317,4.527,0.642,1994
36,盖·里奇,两杆大烟枪,37,9,273007,107,1234537,4.522,0.667,1998
37,彼特·道格特,飞屋环游记,38,8.9,496926,96,2208836,4.445,0.677,2009
38,弗洛里安·亨克尔·冯·多纳斯马尔克,窃听风暴,39,9.1,221767,137,1011035,4.559,0.639,2006
39,米洛斯·福尔曼,飞越疯人院,40,9,276894,133,1248791,4.51,0.674,1975
40,路易·西霍尤斯,海豚湾,41,9.3,181260,92,839415,4.631,0.65,2009
41,马丁·布莱斯,闻香识女人,42,8.9,319959,157,1425097,4.454,0.677,1992
42,詹姆斯·麦克特格,V字仇杀队,43,8.8,413191,132,1822998,4.412,0.753,2005
43,宫崎骏,哈尔的移动城堡,44,8.9,346323,119,1533864,4.429,0.695,2004
44,弗朗西斯·福特·科波拉,教父2,45,9.1,185449,202,843792,4.55,0.643,1974
